Codigo	Descricao	Descrição Inglês
	ARRUELA PRESSÃO BICROMATIZADA 3/8	
11130877000	ARRUELA QUADRADA	SQUARE WASHER
	ARRUELA TRAVA DENTADA	
	ASSENTO SANITARIA MAX PLENA BRANCO	
	ASSENTO SANITÁRIO	
17010023	ATIVO MAQUINA E EQUIPAMENTO COMPRESSOR AR BICILINDRO	
17010038	ATIVO VEICULO REBOCADOR AXOR 1933	
17030015	ATIVO VEICULO VW/KOMBI	
17030007	ATIVO VEICULO VW/SAVEIRO 1.6 CE CROSS	
5002007	AVENTAL DE RASPA	
11131416300	AXLE	
11406089010	AXLE (FRONT)	
	BACIA P/CAIXA ACOPLADA PARATI BR LOGASA	
	BALANCIM C/GRAMPO C COMPLETO	
	BALDE 20 LT	
5	BALDE 20LT	
	BALDE DE 20L C/ALÇA	
	BALDE OLEO 15W40 CI4 URANIA 3000 SE MINE	
	BALDE OLEO TUTELA 300 EP GL5 80W90 20L M	
	BALDE OLEO TUTELA GL5 85W140 20L	
14511221500	BANDA DE CALOR	MI BAND HEAT. 240V 1.5KW ID4.92'' W3.5''
GK8-9-9	BANDEJA DO ÓLEO -	
GK8-9-9	BANDEJA DO ÓLEO - 	
	BARBANTE DE ALGODÃO	
	BARRA CHATA 1" 1/4X3/16X6M	
	BARRA CHATA 1/2" (SERRALHEIRO) 6M	
	BARRA COBRE CHATA A006 3/8"X2" 1032A	
	BARRA DE AGULHA GK8 - 3-2	
11404166010	BARRA DE VERIFICAÇÃO DE TENSÃO CURTA	TENSION CHECKING BAR SHORT
57	BARRA DO CALCADOR 51257K	
	BARRA RENDONDA 2" X 6M	
	BARRA ROSC ZB UNC (01) 1/4X3000MM	
	BARRA ROSC ZB UNC (04) 1/2X3000MM	
	BARRA ROSCADA VERGALHÃO GALV 3/8X3MTS	
	BARRA ROSCAVEL	
5843	BASE DA BUCHA 9-2	
NL-56180B	BASE DA CHAPA DA AGULHA	
14028600002	BASE DE FUSIVEL DE VIDRO 24VDC	GLASS FUSE BASE 24VDC
11406385010	BASE DO PORTA-BOBINA TRASEIRO	REAR BOBBIN HOLDER BASE
11169021200	BATENTE DO CLIPPER	CLIPPER STOPPER
5001897	BATERIA 9V	
	BATERIA ALCALINA 9V PANASONIC	
11130863850	BEARING COVER 	BEARING COVER 
11145221100	BICO 45MM C/TUBO DE METAL	
11145221100	BICO 45MM C/TUBO DE METAL 	BICO 45MM C/TUBO DE METAL 
	BICO DE LIMPEZA C/GATILHO	
	BICO DE LIMPEZA C/GATILHO 1/4NPT	
	BICO GRAXEIRA P/ENGR. MANUAL 1/8	
