Codigo	Descricao	Descrição Inglês
	ENGRENAGEM SINCRONIZADA DE ALIMENTAÇÃO 22 Z	
	ENGRENAGEM SINCRONIZADA DO VOLANTE	
	ENV PLAST A4 04 FUROS MEDIO	
	ENV PLAST A4 04 FUROS MÉDIO	
	ENV PLAST A4 04 FUROS MEDIO 0124F/A4100	
	ENV PLAST A4 04 FUROS MÉDIO 0124F/A4100	
	ENVELOPE PLASTICOS MEDIOS A4	
	ENXADA ESTREITA 2.0 C/CABO 130CM	
11155071600	ESBAND ENDLESS FLAT BELT TYPE - PU12	ESBAND ENDLESS FLAT BELT TYPE - PU12
	ESCOVA CABO MADEIRA 3X15 LATÃO	
	ESCOVA CEPILLO 04X3/4"	
	ESCOVA DE AÇO	
	ESCOVA HASTE TUBULAÇÃO LIMPEZA 12MM	
	ESCOVA ROTATIVA DSSM4	
6	ESCOVA SANITARIA	
	ESM SINT BRILHANTE AMARELO OURO 3,6L	
	ESM SINT BRILHANTE VERMELHO 3,6L	
	ESMALTE SEC RAP BRASILUX AMARELO OURO 3,6LT	
	ESMALTE SEC RAP BRASILUX VERMELHO 3,6LT	
	ESMALTE SINTET ALTO BRIL 3,0LT AMARELO DIALINE	
	ESMERILHADEIRA	
	ESMERILHADEIRA 4.1/2" GWS 850W 220V	
	ESMERILHADEIRA 7" GWS 2200-180 22000W 220V	
11164878610	ESPAÇADOR	SPACER
11131517320	ESPAÇADOR 	SPACER
11158116630	ESPAÇADOR DE ROLOS - N	ROLLER SPACER - N
11407740000	ESPAÇADOR OD14XID8,1 1x2	SPACER OD14XID8,1 1X2
11409464000	ESPAÇADOR OD18XID8X8	SPACER OD18XID8X8
	ESPAÇADOR P COMPENSADOR DO TEAR	
11158027100	ESPAÇADORES (PRETO)	POSITIONING SEPRATOR
	ESPATULA DE AÇO 10CM	
	ESPIGÃO 1/2	
	ESPIGÃO 1/2X1/2	
	ESPIGÃO 3/4	
	ESPIGÃO GALVANIZADO 2"	
	ESPONJA DUPLA FACE 100MMX64MMX20MM	
5001410	ESPONJA DUPLA FACE AMARELA	
5003659	ESPONJA FIBRA VERDE	
	ESPONJA MULTIUSO DUPLA FACE	
	ESPUMA EXPANSIVA	
	ESPUMA EXPANSIVA 500ML	
	ESQUADRO	
5003661	ESTILETE LAMINA SIMPLES	
	ESTILETE PLAST REFORÇADO LARGO 18MM	
	ESTILETE PLAST REFORÇADO LARGO 18MM VONDER	
	ESTRUTURA DE FERRO E AÇO BCH 1.1/4"X3/16"X6M	
	ESTRUTURA DE FERRO E AÇO CANTON 5/8"x1/8"X6m	
5003265	ETIQUETA BRANCA P/IMPRESSÃO	
	ETIQUETA FARDO ADESIVA BRANCA 100X143MM	
	EXCENTRICO - 4-17	
	EXCENTRICO DO AUXILIAR	
	EXTENSÃO	
	EXTENSÃO 1990-5 ENCAIXE 1/2 GEDORE	
	EXTENSÃO P/SOQUETE 1/2X10" 250MM	
5003774	EXTRATOR DE GRAMPO	
	FACAS DE CORTE	
17010278	FACAS DE CORTES	CUTTINGS KNIVES
11158186800	FALTA DE LÃ	WOOLEN FALT
	FARINHA BRANCA 1KG	
	FARINHA DE MANDIOCA BRANCA 1KG	
	FARINHA DE MILHO 500G	
	FARINHA DE OVA CRUZEIRO 1KG	
	FARINHA DE TRIGO 1KG	
	FARINHA DE TRIGO S FERMENTO	
	FARINHA DE TRIGO TRIGOLAR SEM FERMENTO	
	FARINHA UARINI OVA CRUZEIRO 1K	
	FECHADURA 1940 TRETA BICO DE P ESP INOX STAM	
	FECHADURA 40MM INOX 803/03 EXT (G) MAÇANETA STAM	
	FECHADURA BICO DE PAPAGAIO	
	FECHADURA DA PORTA	
	FECHADURA EXTERNA CILINDRICA TULIPA INOX	
	FECHADURA POPLINE RETA ESTERNA CROMADO ESP 26 40X53 PY45	
	FEIJÃO CARIOCA 1KG	
	FEIJAO CARIOCA N 1KG	
	FEIJÃO PRETO 1KG	
	FEIJAO PRETO DONA DÊ 1kG	
11405099000	FELTRO DE TENSÃO-N	TENSION PAD FELT - N
	FELTRO GK8 - 4-10	
	FERROLHO	
	FERROLHO GALVANIZADO TARJETA 2	
	FERROLHO GALVANIZADO TARJETA 3	
	FERROLHO PORTA CADEADO GALVANIZADO 6 ROCHA	
14046210000	FF FUSE AC 1000V NH0 100A	FF FUSE AC 1000V NH0 100A
14046204000	FF FUSE AC 1000V NH00 40A 	FF FUSE AC 1000V NH00 40A 
14054001601	FF FUSE AC 660/690/700V CYL 10X38 16A	FF FUSE AC 660/690/700V CYL 10X38 16A
14054000101	FF FUSE AC 660/690/700V CYL 10X38 1A	FF FUSE AC 660/690/700V CYL 10X38 1A
14054000601	FF FUSE AC 660/690/700V CYL 10X38 6A	FF FUSE AC 660/690/700V CYL 10X38 6A
14054102002	FF FUSE AC 660/690/700V CYL 14X51 20A	FF FUSE AC 660/690/700V CYL 14X51 20A
14054102500	FF FUSE AC 660/690/700V CYL 14X51 25A	FF FUSE AC 660/690/700V CYL 14X51 25A
14054210002	FF FUSE AC 660/690/700V CYL 22X58 100A	FF FUSE AC 660/690/700V CYL 22X58 100A
14054205002	FF FUSE AC 660/690/700V CYL 22X58 50A	FF FUSE AC 660/690/700V CYL 22X58 50A
14009910021	FF FUSE AC 660V 180A L2T 16320 TYPE 120	FF FUSE AC 660V 180A l2t 16320 TYPE 120
14044020000	FF FUSE AC 660V NH00 BS 200A	FF FUSE AC 660V NH00 BS 200A
14044040000	FF FUSE AC 660V NH00 BS 400A	FF FUSE AC 660V NH00 BS 400A
	FILTER MESH	
	FILTER REGULADOR FRC 156 334	
11176106910	FILTER SUPPORT	FILTER SUPPORT
	FILTRO AR MOTOR	
	FILTRO BEBEDOURO FIT-200 PLANETA ÁGUA	
11932033000	FILTRO CODIFICADOR DE TEAR	LOOM ENCODER FILTER
	FILTRO COMBUSTIVEL	
12606003040	FILTRO DE AR PC DRENO HOMEM	PC AIR FILTER MAN DRAIN - Q7/2 - 10BR - JN
	FILTRO DE AR RETSCELE WERIE 730 519	
	FILTRO DE AR RETSCHLE_WERIE	
	FILTRO DE SUCÇÃO ROSCA	
11176103500	FILTRO DE TELA	SCREEN FILTER
14073229000	FILTRO DO VENTILADOR	FAN FILTER SIZE 185X185MM
	FILTRO IGATU 569	
	FILTRO P/PARTICULAS P95	
	FILTRO P2 3M 5N11	
	FILTRO REFIL P/BEBEDOURO	
	FILTRO REFIL P/BEBEDOURO PEQUENO	
	FILTRO SEDIMENTADOR SEPARADOR AGUA COM D	
	FILTRO Y BRONZE 3 DECA	
	FINAWAX C POWDER	
	FIO CABO FLEX 2X4MM	
	FIO DE CORTE REDONDO 3.000X50	
11401767000	FIO DE DESCIDA C/ESFERA (DIAMETRO 4MM)	DROP WIRE WITH BEAD (WIRE DIA4)
09010008	FIO MULTIFILAMENTO 3780DEN	
09020001	FIO POLIESTER 02 CABOS	
	FIO VERDE	
	FITA 8583 TR 48MMX50M	
5003333	FITA ADESIVA (VERMELHA) 48X30	
5003333	FITA ADESIVA (VERMELHA) 48X50	
	FITA ADESIVA ASFALTICA	
	FITA ADESIVA POLIETILENO PRETA	
	FITA ADESIVA POLIETILENO REF TECIDO PRETA 48MMX50M	
	FITA ADESIVA TRANSPARENTE 3M	
	FITA ADESIVA TRANSPARENTE 3M 45X45	
	FITA ADESIVA TRANSPARENTE 45MMX45MT 3M	
5003325	FITA ADESIVA TRANSPARENTE 48X50	
5003326	FITA ADESIVA TRANSPARENTE 48X51	
	FITA ADESIVA TRANSPARENTE 72X100	
	FITA ADESIVA TRANSPARENTE 72X101	
	FITA AUTOFUSÃO	
5002356	FITA AUTOMOTIVA AMARELA	
5003236	FITA CREPE	
	FITA CREPE 24X40	
	FITA CREPE 24X50	
	FITA CREPE 24X50 EUROCELL	
	FITA CREPE 24X50 SULAMERICANA	
	FITA CREPE ATLAS 18MMX50M	
5003236	FITA CREPE BRANCA 18X40	
5003236	FITA CREPE BRANCA 24X40	
	FITA CREPE BRANCA 48X50	
	FITA DE PAPEL FABRIL 750MMX30M	
	FITA DF PAPEL FABRIL 750MMX30M	
	FITA DUPLA FACE	
45	FITA DUPLA FACE 750MMX30M	
	FITA DUPLA FACE FIXA FORTE VERDE 19MMX20M 3M	
29	FITA DUPLA FACE VERDE	
48	FITA FLAX 48X50	
	FITA GOMADA P/DEMARC SOLO 48X30 VERMELHA	
	FITA ISOLANTE	
	FITA ISOLANTE 18MMX10M VM FITECK	
	FITA ISOLANTE 18MMX20MT IMPERIAL AMARELA	
	FITA ISOLANTE 18MMX20MT IMPERIAL AZUL	
	FITA ISOLANTE 18MMX20MT IMPERIAL BRANCAU	
	FITA ISOLANTE 18MMX20MT IMPERIAL VERDE	
	FITA ISOLANTE ALTA FUSÃO 19MMX10M	
5002208	FITA ISOLANTE AMARELA 18MMX20M	
5002209	FITA ISOLANTE AZUL 18MMX20M	
5002209	FITA ISOLANTE AZUL 18MMX20M 	FITA ISOLANTE AZUL 18MMX20M 
5002210	FITA ISOLANTE BRANCA 18MMX20M	
5002210	FITA ISOLANTE BRANCA 18MMX20M 	FITA ISOLANTE BRANCA 18MMX20M 
	FITA ISOLANTE IMPERIAL 18MM X 20M	
	FITA ISOLANTE IMPERIAL PRETA 148MMX20M	
5002217	FITA ISOLANTE PRETA 18MMX20M	
5002217	FITA ISOLANTE PRETA 18MMX20M 	FITA ISOLANTE PRETA 18MMX20M 
5002211	FITA ISOLANTE VERDE 18MMX20M	
5002211	FITA ISOLANTE VERDE 18MMX20M 	FITA ISOLANTE VERDE 18MMX20M 
5002212	FITA ISOLANTE VERMELHA 18MMX20M	
5002212	FITA ISOLANTE VERMELHA 18MMX20M 	FITA ISOLANTE VERMELHA 18MMX20M 
	FITA P/ETIQUETADORA BROTHER M-231 P-TOUCH	
	FITA PLÁSTICA 48MMX50MT TRANSP.3M	
	FITA PVC 50M LINEAR X0,10 M LARGURA BRANCA	
	FITA TEFLON	
43	FITA TEFLON 0,15	
43	FITA TEFLON 0,15 C/ADESIVO	
	FITA TEFLON 0,15 S/ADESIVO	
	FITA TEFLON 0,25 S/ADESIVO	
	FITA VEDA ROSCA 18MM X 50M	
	FITA VEDA ROSCA 18MMX50M	
5002413	FITA VEDA ROSCA 18X50	
5001498	FITA ZEBRADA	
04020002	FITILHO LEITOSO RECICLADO 750GRS 01	
5003208	FITILHO RECLICADO 750GRS	
11322650000	FLANGE DE ROLO GUIA	GUIDE ROLLER FLANGE
17010210	FLANGE DO ROLO GUIA TRASEIRO	BACK GUIDE ROLLER FLANGE
12600110017	FLANGE GIRATÓRIO SNCS-32 FS#174397	SWIVEL FLANGE SNCS-32 FS #174397
12609500322	FLANGE GIRATÓRIO SNCS-40 FS#174398	SWIVEL FLANGE SNCS-40 FD #174398
11169003510	FLAT PULLEY	FLAT PULLEY
28	FLIPCHART	
	FLOCAO DE MILHO 500G	
	FONTE	
15410120100	FONTE CHAVEADA 230 VAC / 24 VCC 150 W PARA TRILHO DIN	SMPS 230VAC 24VDC 150W PANEL DIN-RAIL
11147253340	FONTE DE ALIMENTAÇÃO	320VDC POWER SUPPLY 24CONNN
	FONTE GRADEADA	
14460000020	FOTOSENSOR DIFUSO	DIFFUSE PHOTOSENSOR PNP NO M18 FLUSH
11305268000	FREIO	BRAKE
11130814610	FRONT SLEEVE	FRONT SLEEVE
12601130320	F-THD COMPACT NMAG CYL-DIA32X25-JN	F-THD COMPACT NMAG CYL-DIA32X25-JN
	FUNIL C/BICO RETRATIL LUPUS	
	FUNIL PLASTICO GRANDE 1220	
	FUNIL PLASTICO PRETO 160MM	
15300000100	FUSE 2A 440V SLOW	FUSE 2A 440V SLOW
15300000108	FUSE 356 SERIES 3.15A 440V SLOW-BLOW	
15300000108	FUSE 356 SERIES 3.15A 440V SLOW-BLOW 	FUSE 356 SERIES 3.15A 440V SLOW-BLOW 
14981000003	FUSE PULLER CD	FUSE PULLER CD
	FUSIVEL 20A	
	FUSIVEL 2A	
14027003000	FUSIVEL DE VIDRO 5X20 3A	
14027016000	FUSIVEL DE VIDRO CERAMICA 16A	GLASS/CERAMIC FUSE FF 5X20 16A
14050000200	FUSIVEL HRC AC 440/500V CILINDRO 10X38 2A	HRC FUSE AC 440/500V CYL 10X38 2A
	GÁS 1416 1419	
	GÁS 410	
	GAS 410A (11,3KG)	
	GÁS MAP	
	GAS P20	
	GÁS P20	
	GAS R22 13,6KG EOS	
	GAS R410A REFRIGERANTE EOS	
	GELATINA EM PÓ 20G SABORES	
	GIZ ESTACA VERMELHO RADEX	
	GLASSLON S/ADES 0,15X100X30M RWC 85094	
	GLASSLON S/ADES 0,25X100X30M RWC	
	GOIABADA 250G	
	GOIABADA POTE	
5002749	GONZO 3/8 (GABITEC)	
5002748	GONZO 5/8 (TEADIT)	
	GONZO 7/8 PINO FIXO ROTEC	
5001035	GRAMPEADOR METAL 11,5	
	GRAMPEADOR P/25FLS 93013 JOCAR	
	GRAMPO 26/6 GALV C/5000 JOCAR	
	GRAMPO 26/6 GALVANIZADO C/5000	
5001415	GRAMPO JOCAR 26/6	
	GRAXA BRANCA SPRAY ORBI GRAX 300ML	
	GRAXA LGHP 2	
	GRAXA LUBRIFICANTE CASTANHA (ROLAMENTO)	
	GRAXEIRA RETA M10X1	
	GRAXEIRA RETA M8X1	
	GRAXEIRO RETA M10X1.0	
11135459300	GRIP SCREW (GALVANISE)	GRIP SCREW (GALVANISE)
14746012000	GROMMET FOR HOLE ID 12MM	GROMMET FOR HOLE ID 12MM
5809	GUIA 9-7	
11408090000	GUIA DE DEFORMAÇÃO DE BRAÇADEIRA - XR	CLAMP WARP GUIDE - XR
11406377020	GUIA DE LANÇADEIRA	SHUTTLE GUIDE R-6
11131715740	GUIA DE TRAMA	WEFT GUIDE -820
11158218020	GUIA DE TRAMA-LSL 8R	WEFT GUIDE -LSL8
11131704940	GUIA DE TRANSPORTE	SUTTLE GUIDE-820
11131704940	GUIA DE TRANSPORTE 	SUTTLE GUIDE-820
11406371010	GUIA DE URDIDURA	WARP GUIDE R-6
11131705060	GUIA DE URDIDURA - 820	WARP GUIDE-820
11130211900	GUIA DO  TRANSPORTADOR  DE GRAMPO	CLAMP (SHUTTLE GUIDE)
11130211900	GUIA DO TRANSPORTADOR DE GRAMPO	CLAMP (SHUTTLE GUIDE)
JYF-G30-30	GUIA FIO AUXILIAR	NEEDLE
JYF-J30-50	GUIA FIO COM PORCELANA	THREAD GUIDE WITH CERAMIC
11130860580	GUIA FIO REVESTIDO DE CERAMICA	TG WITH BEADING CERAMIC C/CE
11408093000	GUIA FRONTAL	GUIDE NOSE - X
JYF-J30-102	GUIANDO	GUIDE
11408093000	GUIDE NOSE - X	
11157926400	GUIDE ROLLER S/ASSY	
	GUINCHO HIDRAULICO 1 TON C/PROLONGADOR MARCON	
	HASTE 3/8	
1817	HASTE 753111	
	HASTE DE ATERRAMENTO	
11406359010	HASTE DE GUIA DE TRAMA	WEFT GUIDE ROD
JYF-J30-76	HASTE GUIA	GUIDE ROD
11130864940	HASTE OSCILANTE	OSCILLATING ROD
	HASTE P TUBO DISCO	
	HASTE ROSCAVEL 3/16"	
	HATE ROSCAVEL	
11952008010	HD CART HEATER 260V 2.75KW D1 HL890	HD CART HEATER 260V 2.75KW D1 HL890
11158254400	HEALD WIRE (8040R)	
11158254400	HEILD WIRE (8040)	
12602530300	HEX CONICA SILENCER	HEX CONICA SILENCER
14451010120	HOLL.SHA ENC. 10MM 360PPR 24VDC10M CAB	HOLL.SHA ENC. 10MM 360PPR 24VDC10M CAB
5004000	HORIMETRO ANALOGICO	
5004000	HORIMETRO ANALOGICO 	HORIMETRO ANALOGICO 
12470310119	HOT DO NOT TOUCH	HOT DO NOT TOUCH
14050105001	HRC FUSE AC 400V CYL 14X51 50A 120KA BRK	HRC FUSE AC 400V CYL 14X51 50A 120KA BRK
14041580000	HRC FUSE AC 500/415V NH3 800A DIN BLADE 	HRC FUSE AC 500/415V NH3 800A DIN BLADE 
14041325000	HRC FUSE AC 500/660/690V NH1 250A	HRC FUSE AC 500/660/690V NH1 250A
14051208000	HRC FUSE AC 500/690V CYL 22X58 80A	HRC FUSE AC 500/690V CYL 22X58 80A
14051000400	HRC FUSE AC 660/690/700V CYL 10X38 4A	HRC FUSE AC 660/690/700V CYL 10X38 4A
14041320000	HRC FUSE AC500/660/700V NH1 200A	HRC FUSE AC500/660/700V NH1 200A
14272200820	I/O COMBO MOD 4+2DI/O 1+1AI/O SI/SO 0,5A (X20-CM-8281)	I/O COMBO MOD 4+2DI/O 1+1AI/O SI/SO 0,5A (X20-CM-8281)
14260000021	I/O COMM INTERFACE MODULE MOD TRANS (X20-BT-9100)	I/O COMM INTERFACE MODULE MOD TRANS (X20-BT-9100)
14260300020	I/O COMM INTERFACE MODULE MODBUS  (X20-CS-1030)	I/O COMM INTERFACE MODULE MODBUS  (X20-CS-1030)
14260100020	I/O COMM INTERFACE MODULE RECEIVER (X20-BR-9300)	I/O COMM INTERFACE MODULE RECEIVER (X20-BR-9300)
	IHM	
	IHM 7 LCD	
14210100070	IHM COLORIDA LCD 3,5" COM TECLAS DE FUNÇÃO	COLOUR HMI WLCD W FUN KEY 3,5
11130558400	ILHÓ DE CERAMICA	CERAMIC EYELET
	ILHOS - 1L 6X3	
11981028000	IND CYL PROXY W COM PNP NO M8 FLUSH+CABLE	IND CYL PROXY W COM PNP NO M8 FLUSH+CABLE
14402021021	IND CYL PROXY W OON PNP NO M8 FUSH	IND CYL PROXY W OON PNP NO M8 FUSH
14401011003	IND PROXY FLUSH PNP NO M12 SH CABLE	IND PROXY FLUSH PNP NO M12 SH CABLE
14401021003	IND PROXY FLUSH PNP NO M8 IN 30 CABLE 2M	IND PROXY FLUSH PNP NO M8 IN 30 CABLE 2M
14401021002	IND PROXY FLUSH PNP NO M8 W SH CABLE 3KHZ	IND PROXY FLUSH PNP NO M8 W SH CABLE 3KHZ
11147252530	INDUCTIVE PROXY SENSOR	INDUCTIVE PROXY SENSOR
13.815.02.0.00	INOX YARN GUIDE TUBE DIAM. 2 MM	
13.815.04.0.00	INOX YARN GUIDE TUBE DIAM. 4 MM	
12491506120	INSERÇÃO HELICOIL M6X12	HELICOIL INSERT M6X12
11158953100	INSERTION FINGER STOP DEVICE (CERAMIC)	
11158953100	INSERTION FINGER STOP DEVICE (CERAMIC)-RZ	
11158934000	INSERTION FINGER WITH CERAMIC - S	INSERTION FINGER WITH CERAMIC - S
11158965800	INSERTION FINGER WITH CERAMIC-M1	INSERTION FINGER WITH CERAMIC-M1
11158965900	INSERTION FINGER WITH CERAMIC-M2	INSERTION FINGER WITH CERAMIC-M2
11158933710	INSERTION FINGER WITH CERAMIS - M	INSERTION FINGER WITH CERAMIS - M
11158953100	INSERTO DE PARADA	INSERTION FINGER STOP DEVICE (CERAMIC)-RZ
	INSERTTION CACHIMBO	
	INSETICIDA	
	INSETICIDA AEROSOL	
11158217500	INTERMEDIATE SPACER 720 TAPES	INTERMEDIATE SPACER 720 TAPES
	INTERRUPTOR 16A/250V	
15322031102	INTERRUPTOR BALANCIN DPST 16A 250VAC	SWITCH ROCKER DPST 16A 250VAC
17010272	INTERRUPTOR DE PRESSÃO	PRESSURE SWITCH
17010280	INTERRUPTOR ROTATIVO	ROTARY SWITCH
14123036000	INVERSOR	
	IPIFLEX LI EP 2 BALDE 20KG	
14500225000	ISO TR P380/400/415/440 S230 50/60HZ500VA	ISO TR P380/400/415/440 S230 50/60HZ500VA
	ISOLADOR PARALELO EPOXI 3/8" 50X50MM 50X50 3/8' 50X50 3/8"	
11157007100	J HOOK CERAMIC 7MM	J HOOK CERAMIC 7MM
	JG DE CHAVE ALLEN 42-9M - 1,5 A 10MM	
	JG DE CHAVE FENDA E PHILLIPS	
	JG DE MACHO M10X1,50	
	JG DE MACHO M8X1,25	
	JG DE PONTEIRA PHILIPS	
	JG DE SOQUETE	
	JG DE SOQUETE DE IMPACTO CURTO 1/2 SATA	
11158330930	JOCKEY LEVER	
	JOELHO 45 ESG. DN100	
	JOELHO 90 ESG. DN 100	
	JOELHO 90 ESG. DN100	
	JOELHO 90 SOLD 25MM	
	JOELHO 90 SOLD/ROSC 20MMX1/2	
	JOELHO 90 SOLDAVEL 32MM	
	JOELHO 90º ESG. DN100	
	JOELHO 90º ESGOTO 100MM	
	JOELHO 90º SD 20MM	
	JOELHO 90º SD 25MM	
	JOELHO 90º X100MM	
	JOELHO AZUL SD C/ROSCA 25X3/4	
	JOELHO GALV. 3/4"	
	JOELHO GALVANIZADO 1"	
	JOELHO PVC 150	
	JOELHO PVC 150 90	
	JOELHO PVC 40	
	JOELHO PVC SD 32MM	
	JOELHO PVC SD 90 32MM	
	JOELHO PVC SD/ROSC 20X1/2	
	JOELHO PVC SOLDAVEL 90 20MM CB AMANCO	
	JOGO LIMA AGULHA DIAMANTADA 140MM 10PÇ	
	JUNTA TAMPA VALVULA COM TAMPA PLASTICO 0	
	KEY PAD	
	KIT COMPLETO P/CX ACOPLADAS	
	KIT DE REGULAGEM	
	KIT EPOXI BRASILUX CINZA CLARO 18L	
	KIT FLANGEADOR EXCENT CATRACADO 3/16 A 3/4 C/MALETA	
11400900185	KIT FOR HOLL SHAFT ENC 360 PPR	KIT FOR HOLL SHAFT ENC 360 PPR
	KIT PAINEL ACESSORIO 03 6040 BTC-CPD	
	KIT PAINEL MOLD. FRONTAL 02 1560 MPF-CPD	
	KIT PAINEL MOLD. TRASEIRA 01 1560 TEM-CPD	
	KIT REGULAGEM D/E	
	KIT REGULAGENS L.D	
	KIT REGULAGENS L.E	
	KIT SAPATA	
	KIT SERRA COPO STARRET DEEP CUT 9 SERRAS 3 ACESS	
	KIT TERMINAL BATERIA POSITIVO/NEGATIVO	
	KIT UNIVERSAL P/CAIXA ACOPL C/ACIO SUP CR BLUKIT	
12470150029	LAÇO 773091	LOOPER 773091
12470310013	LAMINA	BLADE 72X17X0.6
12470100005	LAMINA CERAMICA PENTAGONAL	PENTAGONAL CERAMIC BLADE 07US030
5003209	LAMINA CORTANTE EM AÇO	
	LAMINA DE SERRA	
12470310004	LAMINA INDUSTRIAL	INDUSTRIAL BLADE 0,2MM THK
11422353010	LAMINA MOVEL	MOVING BLADE
5001442	LAMINA P/ESTILETE	
	LÂMINA P/ESTILETE GRANDE C/10UN MP 452	
5001442	LAMINA P/ESTILETE LARGO	
	LAMINA P/ESTILETE LARGO 18MM C/10 SX-18T	
	LAMINAS BLADE	
	LAMP BULBO ALTA POTECIA 50W 6500K E27	
	LAMP LED ALTA POTEN 20W E27 BIV 6500K	
	LAMPADA	
14066718400	LÂMPADA IND LED	IND LAMP LED NO24VAC/DC RED
	LÂMPADA LED BULBO 20W BR BV E27 6500K	
	LAMPADA LED BULBO 20W E27	
	LÂMPADA LED BULBO 50W BR BV E27 6500K	
5002428	LAMPADA LED BULBO 50W E27	
	LANÇADEIRA BASE TAG TEAR	
11401679000	LANÇADEIRA COMPLETA 35X218 WSF	SHUTTLE WHEEL ASSY 
	LANTERNA DE CABEÇA CICLOP	
	LANTERNA TRASEIRA	
38	LAPIS DE CERA BRANCO	
37	LAPIS DE CERA COR DE VINHO	
5003526	LAPIS DE CERA ESTACA AMARELO	
5003374	LAPIS DE CERA ESTACA AZUL	
	LAPIS DE CERA ESTACA AZUL C/12	
	LAPIS DE CERA ESTACA AZUL C/12 100GR ACRILEX	
5003375	LAPIS DE CERA ESTACA PRETO	
	LAPIS DE CERA ESTACA PRETO C/12 100GR ACRILEX	
	LAPIS DE CERA ESTACA VERDE C/12 100GR ACRILEX	
5003376	LAPIS DE CERA ESTACA VERDE ESCURO	
5003551	LAPIS DE CERA ESTACA VERMELHO	
	LAPIS DE CERA ESTACA VERMELHO C/12 100GR ACRILEX	
36	LAPIS DE CERA MARROM	
17	LAPIS PRETO SEXTRAVADO	
	LATÃO TINTA CINZA MÉDIO	
	LAVATORIO P/COLUNA 470X425	
11130602700	LEATHER PAD	LEATHER PAD
	LEITE CONDENSADO PIRACANJUBA 270G	
	LEITE EM PÓ INTEGRAL 400G	
	LENTE DE MASCARA SOLDA ESCURA	
	LENTE ESCURA	
	LENTE INCOLOR	
	LENTE MASCARA DE SOLDA ESCURA	
5003642	LENTE MASCARA SOLDA RET. INC 51X108MM	
	LENTE MASCARA SOLDA RET. INC ESCURA	
11157048500	LEVER BLOCK	LEVER BLOCK
13.095.76.116	LIÇO COM ILHÓS	HEDDLE WITH EYELET 
13.095.76.116	LIÇO COM ILHÓS 	HEDDLE WITH EYELET 
14460001000	LIGHT SCANNER PNP SWITCH O/P M18	LIGHT SCANNER PNP SWITCH O/P M18
30.0078.0010.00	LIGHT SUPPORT FOR TUBES AND PIKERS	
	LIMA	
14070050900	LIMIT SWITCH 1NO PLUNGER HEAD 	LIMIT SWITCH 1NO PLUNGER HEAD 
	LIMPA ALUMINIO 500ML BRINORT	
	LIMPA AR CONDICIONADO 5LT	
	LIMPA CONTATO	
5003660	LIMPA VIDRO 500ML	
	LIMPADOR MULTIUSO 500ML VEJA GOLD	
	LIMPADOR MULTIUSO ORIGINAL 500ML VEJA	
	LIMPADOR MULTIUSO ORIGINAL VEJA LV500	
	LIMPADOR MULTIUSO ORIGINAL VEJA LV500 PG450	
	LINHA DE PESCA	
5003983	LIVRO DE ATA	
	LIVRO DE ATA 100FLS ANIMATIVA	
14	LIVRO DE PROTOCOLO	
	LIXA 43MM	
5002505	LIXA D'ÁGUA Nº600	
	LIXA P/FERRO 50X45	
5003890	LIXA PRA FERRO Nº120	
5000771	LIXA PRA FERRO Nº80	
	LIXEIRA C/PEDAL 25L CINZA	
	LIXEIRA C/PEDAL 60L VERDE	
	LONA DE FREIO P LANC	
11130873970	LOOP SPRING D1,5	
12470150004	LOOPER 51108 DA	LOOPER 51108 DA
12470150029	LOOPER 773091	
	LOOPER GK8 19995 4-2	
US-51108E	LOOPER US-51108 E	LOOPER US-51108 E
11158954300	LOWER DEFLECTING PULLEY	
11130823310	LOWER PULLEY BLOCK	
11158199900	LOWER PULLEY BLOCK-N	
1114725033	LS20 BABY AW 250	LS20 BABY AW 250
11147250336	LS20 BABY AW250 CAM	LS20 BABY AW250 CAM
11147250335	LS20 BABY AW250 LW SP	LS20 BABY AW250 LW SP
11147250337	LS20 BABY AW250 TURRET	LS20 BABY AW250 TURRET
	LT-LUBRIFICANTE INTERPLEX	
	LUBRAX HYDRA XP 150 BL 20L	
	LUBRAX UTILE OT 32 TB 200L	
	LUBRAX UTILE OT 32 TB 200LT	
GK8-10-22	LUBRIFICADOR	
12470310025	LUBRIFICADOR DE GOTA	DROP OILER NO.6 R1/8"
	LUMINARIA LED 36W	
	LUMINARIA LED 36W 6500K	
	LUMINARIA LED SLIM SOBREPOR 18W 60CM	
	LUMINARIA LED SLIM SOBREPOR 36W 120CM	
	LUMINÁRIA SOB LED 18W SLIM BV 6500K	
	LUMINÁRIA SOB LED 36W SLIM BV 6500K	
	LUVA 100 PVC	
5003841	LUVA 5 DEDOS KOMBART 35CM BEGE	
	LUVA ANTI-CORTE SAARA LIGHT TAM 8 CA 50881	
	LUVA ANTI-CORTE SAARA LIGHT TAM 9 CA 50881	
	LUVA ANTICORTE TAM "G"	
	LUVA ANTICORTE TAM "M"	
	LUVA ANTICORTE TAM "P"	
	LUVA BANHO PU VENTIL NYLON ANTIESTA M	
	LUVA BANHO PU VENTIL NYLON ANTIESTA M CA 29014	
	LUVA BANHO PU VENTIL NYLON ANTIESTA P	
	LUVA BANHO PU VENTIL NYLON ANTIESTA P CA 29014	
	LUVA BANHO PU VENTIL NYLON ANTIESTA PP	
	LUVA BANHO PU VENTIL NYLON ANTIESTA PP CA 29014	
	LUVA CORRER SOLD 25MM	
	LUVA DE VINIL TAM G	
	LUVA DE VINIL TAM M	
